iter	Passed	Remaining
399	32419	48629
400	32499	48546
401	32622	48528
402	32731	48488
403	32819	48417
404	32899	48334
405	32981	48253
406	33071	48184
407	33171	48131
408	33258	48057
409	33338	47974
410	33433	47913
411	33516	47834
412	33586	47736
413	33653	47635
414	33729	47546
415	33795	47443
416	33868	47350
417	33962	47287
418	34035	47195
419	34120	47118
420	34197	47032
421	34269	46938
422	34354	46862
423	34446	46795
424	34527	46713
425	34610	46634
426	34697	46561
427	34786	46490
428	34883	46429
429	34967	46351
430	35050	46273
431	35146	46211
432	35225	46127
433	35298	46035
434	35381	45955
435	35463	45875
436	35543	45791
437	35631	45719
438	35709	45633
439	35779	45537
440	35851	45444
441	35934	45365
442	36015	45283
443	36094	45199
444	36168	45109
445	36238	45013
446	36304	44913
447	36383	44829
448	36461	44744
449	36536	44655
450	36617	44574
451	36689	44482
452	36753	44380
453	36833	44298
454	36920	44223
455	36991	44130
456	37060	44035
457	37140	43952
458	37210	43858
459	37278	43761
460	37356	43677
461	37423	43580
462	37488	43480
463	37572	43402
464	37640	43306
465	37713	43216
466	37785	43126
467	37858	43036
468	37932	42946
469	38015	42868
470	38089	42780
471	38169	42698
472	38248	42615
473	38314	42518
474	38382	42422
475	38472	42351
476	38547	42264
477	38627	42183
478	38702	42095
479	38771	42002
480	38837	41906
481	38926	41834
482	39002	41748
483	39089	41673
484	39158	41581
485	39233	41494
486	39304	41402
487	39392	41329
488	39453	41228
489	39532	41146
490	39615	41067
491	39683	40973
492	39756	40885
493	39855	40823
494	39922	40729
495	40005	40650
496	40078	40562
497	40150	40473
498	40223	40384
499	40312	40312
500	40383	40222
501	40447	40125
502	40530	40047
503	40600	39956
504	40681	39875
505	40758	39792
506	40824	39697
507	40894	39606
508	40972	39523
509	41043	39433
510	41122	39352
511	41212	39280
512	41284	39192
513	41358	39105
514	41446	39032
515	41533	38958
516	41622	38885
517	41691	38793
518	41758	38700
519	41828	38610
520	41923	38544
521	41992	38452
522	42057	38358
523	42125	38266
524	42223	38201
525	42306	38124
526	42381	38039
527	42452	37949
528	42542	37878
529	42612	37788
530	42686	37702
531	42775	37629
532	42838	37534
533	42909	37445
534	42987	37363
535	43059	37275
536	43135	37191
537	43227	37121
538	43292	37027
539	43365	36941
540	43444	36859
541	43513	36769
542	43595	36691
543	43677	36612
544	43753	36527
545	43810	36428
546	43898	36354
547	43986	36280
548	44072	36205
549	44143	36117
550	44212	36027
551	44288	35944
552	44472	35948
553	44561	35874
554	44629	35783
555	44853	35818
556	44956	35755
557	45030	35669
558	45107	35585
559	45180	35498
560	45267	35423
561	45342	35337
562	45421	35256
563	45487	35164
564	45565	35081
565	45648	35002
566	45718	34913
567	45785	34822
568	45868	34744
569	45934	34652
570	46001	34561
571	46094	34490
572	46168	34404
573	46249	34324
574	46324	34239
575	46388	34146
576	46458	34059
577	46563	33995
578	46641	33914
579	46722	33833
580	46823	33767
581	46912	33692
582	47002	33618
583	47117	33563
584	47205	33487
585	47295	33413
586	47400	33349
587	47485	33272
588	47581	33202
589	47680	33133
590	47765	33055
591	47854	32980
592	47952	32911
593	48032	32830
594	48105	32744
595	48171	32653
596	48264	32580
597	48336	32493
598	48424	32417
599	48517	32345
600	48609	32271
601	48705	32200
602	48791	32123
603	48884	32049
604	48985	31982
605	49082	31911
606	49165	31831
607	49264	31762
608	49362	31692
609	49457	31620
610	49541	31541
611	49614	31454
612	49682	31365
613	49760	31282
614	49853	31208
615	49922	31120
616	49997	31036
617	50071	30950
618	50143	30863
619	50211	30774
620	50298	30697
621	50369	30610
622	50458	30533
623	50533	30449
624	50599	30359
625	50687	30282
626	50756	30194
627	50829	30109
628	50898	30021
629	50975	29938
630	51046	29851
631	51121	29767
632	51202	29686
633	51271	29598
634	51345	29513
635	51428	29433
636	51482	29337
637	51565	29257
638	51650	29179
639	51723	29094
640	51801	29012
641	51879	28929
642	51955	28845
643	52025	28759
644	52111	28681
645	52184	28596
646	52260	28513
647	52333	28428
648	52421	28350
649	52504	28271
650	52579	28187
651	52651	28102
652	52711	28010
653	52798	27933
654	52872	27848
655	52965	27774
656	53070	27706
657	53149	27625
658	53221	27539
659	53292	27453
660	53377	27375
661	53451	27290
662	53520	27204
663	53613	27129
664	53677	27040
